,location,measure,mean,min,max,median
46,Boonsri,"1,2,3-Trichlorobenzene",0.001,0.001,0.001,0.001
469,Kohsoom,"1,2,3-Trichlorobenzene",0.00251875,0.001,0.0253,0.001
47,Boonsri,"1,2,4-Trichlorobenzene",0.001,0.001,0.001,0.001
470,Kohsoom,"1,2,4-Trichlorobenzene",0.001,0.001,0.001,0.001
48,Boonsri,Acenaphthene,0.003600333,0.003,0.03126,0.003
471,Kohsoom,Acenaphthene,0.003,0.003,0.003,0.003
49,Boonsri,Acenaphthylene,0.004,0.004,0.004,0.004
472,Kohsoom,Acenaphthylene,0.004,0.004,0.004,0.004
50,Boonsri,AGOC-3A,3.952450549,0.002,226.904,0.283
138,Busarakhan,AGOC-3A,0.493096774,0.006,5.813,0.28
235,Chai,AGOC-3A,0.667153846,0.004,6.865,0.2925
373,Kannika,AGOC-3A,0.377108696,0.001,4.877,0.2765
473,Kohsoom,AGOC-3A,0.3345625,0.001,2.401,0.282
563,Sakda,AGOC-3A,0.378591398,0,4.215,0.278
660,Somchair,AGOC-3A,0.439580645,0.003,5.396,0.275
51,Boonsri,Alachlor,0.186088889,0,0.86,0.146
139,Busarakhan,Alachlor,0.094928571,0,0.475,0.07
236,Chai,Alachlor,0.113486486,0,0.496,0.0695
374,Kannika,Alachlor,0.146292683,0,0.599,0.1025
474,Kohsoom,Alachlor,0.177821429,0,0.574,0.1085
564,Sakda,Alachlor,0.132,0,0.567,0.1015
661,Somchair,Alachlor,0.091689655,0,0.465,0.078
52,Boonsri,Aldrin,0.04058619,0,0.365,0.0145
140,Busarakhan,Aldrin,0.045685714,0,0.336,0.017
237,Chai,Aldrin,0.038234286,0,0.428,0.012
375,Kannika,Aldrin,0.045075269,0,0.501,0.018
475,Kohsoom,Aldrin,0.034458333,0,0.231,0.015
565,Sakda,Aldrin,0.048347368,0,0.385,0.017
662,Somchair,Aldrin,0.049228571,0,0.309,0.018
757,Tansanee,Aldrin,0.009,0.009,0.009,0.009
53,Boonsri,alpha-Hexachlorocyclohexane,0.019331169,0,0.145,0.005
141,Busarakhan,alpha-Hexachlorocyclohexane,0.0399375,0,0.529,0.005
238,Chai,alpha-Hexachlorocyclohexane,0.019646707,0,0.339,0.005
376,Kannika,alpha-Hexachlorocyclohexane,0.012177083,0,0.119,0.005
476,Kohsoom,alpha-Hexachlorocyclohexane,0.012322581,0,0.091,0.005
566,Sakda,alpha-Hexachlorocyclohexane,0.019119565,0,0.211,0.005
663,Somchair,alpha-Hexachlorocyclohexane,0.033516129,0,0.398,0.005
142,Busarakhan,Aluminium,141.04,50.4,520,111
239,Chai,Aluminium,158.3666667,33.1,790,97
377,Kannika,Aluminium,108.7384615,0,410,87
567,Sakda,Aluminium,124.9722222,23,500,90.5
664,Somchair,Aluminium,188.3,69.3,690,147
1,Achara,Ammonium,0.11542963,0,0.912,0.076
54,Boonsri,Ammonium,0.227492725,0,3.986,0.17
143,Busarakhan,Ammonium,0.366297133,0,4.54,0.211
240,Chai,Ammonium,0.258316821,0,1.78,0.188
331,Decha,Ammonium,0.261006757,0,6.138,0.144
378,Kannika,Ammonium,0.249826676,0,2.63,0.1818
477,Kohsoom,Ammonium,2.566232407,0.24,14.2,2.165
568,Sakda,Ammonium,0.263447923,0,2.93,0.183
665,Somchair,Ammonium,0.464517746,0,3.4,0.289
758,Tansanee,Ammonium,1.370287879,0.01,14.869,0.3245
2,Achara,Anionic active surfactants,0.019428571,0,0.034,0.034
55,Boonsri,Anionic active surfactants,0.06581203,0,0.333,0.05
144,Busarakhan,Anionic active surfactants,0.077402,0,0.39,0.08
241,Chai,Anionic active surfactants,0.05940944,0,0.44,0.053
332,Decha,Anionic active surfactants,0.013551724,0,0.142,0
379,Kannika,Anionic active surfactants,0.061757735,0,0.706,0.053
478,Kohsoom,Anionic active surfactants,0.114176829,0,0.52,0.068
569,Sakda,Anionic active surfactants,0.068615352,0,0.58,0.06
666,Somchair,Anionic active surfactants,0.089097938,0,0.5,0.09
759,Tansanee,Anionic active surfactants,0.040614697,0,0.273,0
56,Boonsri,Anthracene,0.006524467,0.005,0.02402,0.005
145,Busarakhan,Anthracene,0.009,0.0075,0.0105,0.009
242,Chai,Anthracene,0.00846,0.0075,0.0116,0.0075
380,Kannika,Anthracene,0.00805,0.0075,0.0086,0.00805
479,Kohsoom,Anthracene,0.00716875,0.005,0.01954,0.005
570,Sakda,Anthracene,0.0085,0.0085,0.0085,0.0085
667,Somchair,Anthracene,0.0075,0.0075,0.0075,0.0075
760,Tansanee,Anthracene,0.002,0,0.004,0.002
57,Boonsri,AOX,12.93013699,0,54,14.55
146,Busarakhan,AOX,7.966666667,0,29.5,0
243,Chai,AOX,2.704444444,0,21,0
381,Kannika,AOX,3.614130435,0,22,0
480,Kohsoom,AOX,22.02857143,0,53,27.3
571,Sakda,AOX,6.157971014,0,25,0
668,Somchair,AOX,9.388,0,44.2,0
3,Achara,Arsenic,0.788709677,0,2.4,0.9
58,Boonsri,Arsenic,0.403131387,0,3.1,0
147,Busarakhan,Arsenic,1.101826923,0,2.227,1.2
244,Chai,Arsenic,0.767941176,0,2.5,0.895
333,Decha,Arsenic,1.76,0.5,3.08,1.62
382,Kannika,Arsenic,1.152081897,0,2.9,1.2
481,Kohsoom,Arsenic,1.769676923,0,5,2.1
572,Sakda,Arsenic,1.304835,0,2.8,1.3
669,Somchair,Arsenic,1.14,0,2.5,1.2
761,Tansanee,Arsenic,4.267090909,0,17.138,3.048
4,Achara,Atrazine,0.004733333,0,0.213,0
59,Boonsri,Atrazine,0.074125654,0,0.542,0
148,Busarakhan,Atrazine,0.156219512,0,0.5,0.05
245,Chai,Atrazine,0.116562919,0,0.5,0.01
334,Decha,Atrazine,0,0,0,0
383,Kannika,Atrazine,0.132796569,0,0.5,0
482,Kohsoom,Atrazine,0.091462963,0,1.04,0
573,Sakda,Atrazine,0.142233161,0,0.51,0.02
670,Somchair,Atrazine,0.140984962,0,0.5,0.01
762,Tansanee,Atrazine,0.002173913,0,0.05,0
149,Busarakhan,Barium,37,12,70,33
246,Chai,Barium,25.51785714,12.2,48,21
384,Kannika,Barium,31.31612903,13.2,70,26
574,Sakda,Barium,30.45054054,15.4,71,24
671,Somchair,Barium,39.35,12.8,78,35
60,Boonsri,Benzo(a)anthracene,0.003645333,0.0035,0.00612,0.0035
150,Busarakhan,Benzo(a)anthracene,0,0,0,0
247,Chai,Benzo(a)anthracene,0,0,0,0
385,Kannika,Benzo(a)anthracene,0,0,0,0
483,Kohsoom,Benzo(a)anthracene,0.0035675,0.0035,0.00408,0.0035
575,Sakda,Benzo(a)anthracene,0,0,0,0
672,Somchair,Benzo(a)anthracene,0,0,0,0
763,Tansanee,Benzo(a)anthracene,0.0035,0.002,0.005,0.0035
61,Boonsri,Benzo(a)pyrene,0.007523667,0.0075,0.00892,0.0075
151,Busarakhan,Benzo(a)pyrene,0.000333333,0,0.001,0
248,Chai,Benzo(a)pyrene,0.000285714,0,0.001,0
386,Kannika,Benzo(a)pyrene,5.00E-04,0,0.001,5.00E-04
484,Kohsoom,Benzo(a)pyrene,0.007117647,0.001,0.0075,0.0075
576,Sakda,Benzo(a)pyrene,5.00E-04,0,0.001,5.00E-04
673,Somchair,Benzo(a)pyrene,0.000333333,0,0.001,0
764,Tansanee,Benzo(a)pyrene,0.002,0.002,0.002,0.002
62,Boonsri,Benzo(b)fluoranthene,0.007825333,0.0075,0.01992,0.0075
152,Busarakhan,Benzo(b)fluoranthene,0.000333333,0,0.001,0
249,Chai,Benzo(b)fluoranthene,0.000285714,0,0.001,0
387,Kannika,Benzo(b)fluoranthene,5.00E-04,0,0.001,5.00E-04
485,Kohsoom,Benzo(b)fluoranthene,0.007117647,0.001,0.0075,0.0075
577,Sakda,Benzo(b)fluoranthene,5.00E-04,0,0.001,5.00E-04
674,Somchair,Benzo(b)fluoranthene,0.009666667,0,0.028,0.001
765,Tansanee,Benzo(b)fluoranthene,0.0021,0.002,0.0022,0.0021
153,Busarakhan,"Benzo(g,h,i)perylene",0.003,0.001,0.004,0.004
250,Chai,"Benzo(g,h,i)perylene",0.003142857,0.001,0.004,0.004
388,Kannika,"Benzo(g,h,i)perylene",0.0025,0.001,0.004,0.0025
486,Kohsoom,"Benzo(g,h,i)perylene",0.001,0.001,0.001,0.001
578,Sakda,"Benzo(g,h,i)perylene",0.0025,0.001,0.004,0.0025
675,Somchair,"Benzo(g,h,i)perylene",0.003333333,0.002,0.004,0.004
766,Tansanee,"Benzo(g,h,i)perylene",0.002,0.002,0.002,0.002
63,Boonsri,Benzo(k)fluoranthene,0.007520667,0.0075,0.00874,0.0075
154,Busarakhan,Benzo(k)fluoranthene,0.000333333,0,0.001,0
251,Chai,Benzo(k)fluoranthene,0.000285714,0,0.001,0
389,Kannika,Benzo(k)fluoranthene,5.00E-04,0,0.001,5.00E-04
487,Kohsoom,Benzo(k)fluoranthene,0.007117647,0.001,0.0075,0.0075
579,Sakda,Benzo(k)fluoranthene,5.00E-04,0,0.001,5.00E-04
676,Somchair,Benzo(k)fluoranthene,0.000333333,0,0.001,0
767,Tansanee,Benzo(k)fluoranthene,0.0021,0.002,0.0022,0.0021
155,Busarakhan,Berilium,0,0,0,0
252,Chai,Berilium,0,0,0,0
390,Kannika,Berilium,0,0,0,0
580,Sakda,Berilium,0,0,0,0
677,Somchair,Berilium,0,0,0,0
64,Boonsri,beta-Hexaxchlorocyclohexane,0.059976879,0,0.347,0.036
156,Busarakhan,beta-Hexaxchlorocyclohexane,0.063382353,0.005,0.413,0.024
253,Chai,beta-Hexaxchlorocyclohexane,0.044057471,0,0.299,0.0255
391,Kannika,beta-Hexaxchlorocyclohexane,0.036989474,0,0.249,0.017
488,Kohsoom,beta-Hexaxchlorocyclohexane,0.05434375,0,0.272,0.028
581,Sakda,beta-Hexaxchlorocyclohexane,0.047885417,0,0.461,0.0115
678,Somchair,beta-Hexaxchlorocyclohexane,0.055257143,0,0.443,0.016
5,Achara,Bicarbonates,117.6482759,85.4,170.8,115.9
65,Boonsri,Bicarbonates,181.9204447,115.9,321.8,178.985
157,Busarakhan,Bicarbonates,210.3206556,73.2,392.1,209.3
254,Chai,Bicarbonates,168.8426398,53.6,248.9,171
335,Decha,Bicarbonates,157.4020488,72,262.386,147.668
392,Kannika,Bicarbonates,176.4767091,85.4,266.5,175.6
489,Kohsoom,Bicarbonates,227.2748318,128,341.600006,226.185
582,Sakda,Bicarbonates,174.9729978,34.1,253.699997,175.6
679,Somchair,Bicarbonates,184.1250846,46.1,272,185.4
768,Tansanee,Bicarbonates,253.9223563,81.9,382.5,245.2
6,Achara,Biochemical Oxygen,2.31025641,0.5,5.9,2.2
66,Boonsri,Biochemical Oxygen,2.473498896,0,7.4,2.22
158,Busarakhan,Biochemical Oxygen,2.953548387,0,9.84,2.6
255,Chai,Biochemical Oxygen,2.285093379,0,7.3,2.1
336,Decha,Biochemical Oxygen,3.612173913,1.1,11.2,3.6
393,Kannika,Biochemical Oxygen,2.098348665,0,6.4,2
490,Kohsoom,Biochemical Oxygen,5.915277778,2.51,62.5,4.8
583,Sakda,Biochemical Oxygen,2.288290076,0,6,2.21
680,Somchair,Biochemical Oxygen,3.320875,0,11.96,2.9
769,Tansanee,Biochemical Oxygen,5.406296703,0,74.71,3.37
159,Busarakhan,Boron,33.5,29,38,33.5
256,Chai,Boron,39.66666667,35,43,41
394,Kannika,Boron,30.66666667,22,35,35
584,Sakda,Boron,37.33333333,36,38,38
681,Somchair,Boron,36,33,39,36
7,Achara,Cadmium,0.165,0,0.5,0.25
67,Boonsri,Cadmium,2.451195711,0,148.3,0.71
160,Busarakhan,Cadmium,1.335864848,0,43,0.422
257,Chai,Cadmium,0.838927114,0,17.6,0.34
337,Decha,Cadmium,0.634888889,0,7.5,0.22
395,Kannika,Cadmium,0.889420475,0,25.81,0.208
491,Kohsoom,Cadmium,1.400744048,0,45.6,0.462
585,Sakda,Cadmium,0.979332696,0,25.86,0.23
682,Somchair,Cadmium,1.40001369,0,38,0.5895
770,Tansanee,Cadmium,0.321428571,0.25,0.75,0.25
8,Achara,Calcium,36.87640449,24.5,54.2,35.6
68,Boonsri,Calcium,49.16093859,1,87.25,49.2
161,Busarakhan,Calcium,61.54358139,12.06,153.2,58.4
258,Chai,Calcium,51.95202778,17.8,81,52
338,Decha,Calcium,53.81873256,21.4,96.79,52.815
396,Kannika,Calcium,53.38515788,19.8,78.9,53.4
492,Kohsoom,Calcium,70.39855299,4,110.4,72.03
586,Sakda,Calcium,54.09428134,30.4,84.1,54.485
683,Somchair,Calcium,61.15018692,23.3,113,60.1
771,Tansanee,Calcium,85.53778571,24.85,121.8,88.93
9,Achara,Carbonates,140.3,140.3,140.3,140.3
162,Busarakhan,Carbonates,16.35285714,6.28,28.2,18.55
259,Chai,Carbonates,25.48000067,6.12,47.400002,23.4
397,Kannika,Carbonates,26.760001,6.12,47.400002,26.760001
587,Sakda,Carbonates,27.94285829,6,47.400002,35.400002
684,Somchair,Carbonates,15.13,12,23.4,12.36
69,Boonsri,Cesium,0.047619048,0,1,0
163,Busarakhan,Cesium,0,0,0,0
260,Chai,Cesium,0,0,0,0
398,Kannika,Cesium,0,0,0,0
493,Kohsoom,Cesium,0,0,0,0
588,Sakda,Cesium,0,0,0,0
685,Somchair,Cesium,0,0,0,0
10,Achara,Chemical Oxygen Demand (Cr),6.870833333,0,23,6.5
70,Boonsri,Chemical Oxygen Demand (Cr),9.955304294,0,27.6,9.783
164,Busarakhan,Chemical Oxygen Demand (Cr),31.51625,0,74.88,29.37
261,Chai,Chemical Oxygen Demand (Cr),23.48167291,0,89,23.4
339,Decha,Chemical Oxygen Demand (Cr),26.22688172,0,69.1,24.6
399,Kannika,Chemical Oxygen Demand (Cr),21.42198675,0,54,21.14
494,Kohsoom,Chemical Oxygen Demand (Cr),19.99175354,0,87.8,15.4
589,Sakda,Chemical Oxygen Demand (Cr),22.35016892,0,120,23.3
686,Somchair,Chemical Oxygen Demand (Cr),33.96278351,0,94.08,29.59
772,Tansanee,Chemical Oxygen Demand (Cr),59.25282292,5,431.09,50.61
11,Achara,Chemical Oxygen Demand (Mn),2.782307692,0,7.4,2.7
71,Boonsri,Chemical Oxygen Demand (Mn),4.003535589,1.28,13.2,3.7
165,Busarakhan,Chemical Oxygen Demand (Mn),5.725891089,2,27,5.1
262,Chai,Chemical Oxygen Demand (Mn),4.040435308,1.6,11.89,3.59
340,Decha,Chemical Oxygen Demand (Mn),7.172734043,2.8,16.96,6.15
400,Kannika,Chemical Oxygen Demand (Mn),4.209932432,1.26,11.83,3.84
495,Kohsoom,Chemical Oxygen Demand (Mn),7.297534884,3.35,17.9,7.1
590,Sakda,Chemical Oxygen Demand (Mn),4.365567485,2,42.7,4.07
687,Somchair,Chemical Oxygen Demand (Mn),6.473425926,2.5,30.8,5.2
773,Tansanee,Chemical Oxygen Demand (Mn),6.879473684,0,28.54,5.94
12,Achara,Chlorides,10.63863636,5.4,22.1,10.2
72,Boonsri,Chlorides,20.49450861,5.36,55.39,20.19
166,Busarakhan,Chlorides,58.59623255,20.3,186.7,53.2
263,Chai,Chlorides,32.28236241,13.68,85.2,31.55
341,Decha,Chlorides,73.723625,11.4,199.61,66.65
401,Kannika,Chlorides,32.21660238,15.92,63.200001,31.9
496,Kohsoom,Chlorides,50.59288019,19.75,130.4,49.483
591,Sakda,Chlorides,40.79417935,0,477,34.099999
688,Somchair,Chlorides,74.15817763,19.21,196.800003,69.875
774,Tansanee,Chlorides,199.517,85.8,341,191.861
73,Boonsri,Chlorodinine,0.18132967,0.004,0.3,0.231
167,Busarakhan,Chlorodinine,0.176290323,0.01,0.297,0.24
264,Chai,Chlorodinine,0.177605769,0,0.3,0.227
402,Kannika,Chlorodinine,0.164326087,0.002,0.298,0.2195
497,Kohsoom,Chlorodinine,0.1825,0.007,0.436,0.2205
592,Sakda,Chlorodinine,0.171225806,0.002,0.298,0.223
689,Somchair,Chlorodinine,0.169419355,0.005,0.299,0.22
13,Achara,Chromium,0.319298246,0,3.8,0
74,Boonsri,Chromium,4.414762023,0,65.3,1.84
168,Busarakhan,Chromium,7.217878981,0.05,84.4,3.15
265,Chai,Chromium,5.385761125,0,76.9,2.6755
342,Decha,Chromium,11.30955882,0,29,13
403,Kannika,Chromium,6.452429577,0,95,2.8
498,Kohsoom,Chromium,10.6571686,0,161.27,4.3
593,Sakda,Chromium,5.798751381,0,147,2.79
690,Somchair,Chromium,8.71396875,0.15,80.8,4.615
775,Tansanee,Chromium,1.623846154,0.5,4.81,1
75,Boonsri,Chrysene,0.003,0.003,0.003,0.003
499,Kohsoom,Chrysene,0.003,0.003,0.003,0.003
14,Achara,Copper,4.659677419,0,56,2.9
76,Boonsri,Copper,10.34937376,0,88.6,6.1645
169,Busarakhan,Copper,14.33898726,0.05,98,10.53
266,Chai,Copper,14.08812108,0,283.600006,8.079
343,Decha,Copper,8.356415094,0,65,4.19
404,Kannika,Copper,13.26311661,0,232.22,8.4
500,Kohsoom,Copper,22.16490117,0,1123.13,11.575
594,Sakda,Copper,13.40777941,0,125.24,8.1375
691,Somchair,Copper,19.19944377,0.171,177.300003,10.045
776,Tansanee,Copper,6.368235294,1.5,13.43,6.27
15,Achara,Cyanides,0.0025,0.0025,0.0025,0.0025
170,Busarakhan,Cyanides,0.002417857,0,0.0051,0.002
267,Chai,Cyanides,0.002577083,0.002,0.004,0.002
344,Decha,Cyanides,1.533382353,0,4.44,1.8075
405,Kannika,Cyanides,0.002369565,0,0.006,0.002
595,Sakda,Cyanides,0.002683333,0,0.021,0.002
692,Somchair,Cyanides,0.002835714,0,0.0097,0.002
77,Boonsri,Dieldrin,0.053922078,0,0.612,0.005
171,Busarakhan,Dieldrin,0.052323529,0,0.312,0.005
268,Chai,Dieldrin,0.029981366,0,0.516,0.005
406,Kannika,Dieldrin,0.025824176,0,0.28,0.005
501,Kohsoom,Dieldrin,0.035870968,0,0.544,0.005
596,Sakda,Dieldrin,0.048188889,0,0.591,0.005
693,Somchair,Dieldrin,0.071828571,0,0.433,0.015
777,Tansanee,Dieldrin,0.008,0.008,0.008,0.008
172,Busarakhan,Dissolved organic carbon,8.12,8.12,8.12,8.12
407,Kannika,Dissolved organic carbon,5.133333333,4.66,5.66,5.08
597,Sakda,Dissolved organic carbon,3.673333333,3.07,4.26,3.69
694,Somchair,Dissolved organic carbon,5.23,5.23,5.23,5.23
778,Tansanee,Dissolved organic carbon,3.751666667,2.78,5.63,3.63
16,Achara,Dissolved oxygen,10.00991667,6.4,15.1,9.8
78,Boonsri,Dissolved oxygen,8.758687783,3.9,14.11,8.62
173,Busarakhan,Dissolved oxygen,8.679910072,0,15.4,8.385
269,Chai,Dissolved oxygen,8.973617284,0,15.2,8.9
345,Decha,Dissolved oxygen,10.91232323,6.5,14.5,11.2
408,Kannika,Dissolved oxygen,8.973416422,5,14.5,8.745
502,Kohsoom,Dissolved oxygen,7.695324074,2.3,13.69,7.77
598,Sakda,Dissolved oxygen,8.846111952,5.2,12.86,8.61
695,Somchair,Dissolved oxygen,8.804587814,0,13.5,8.79
779,Tansanee,Dissolved oxygen,8.89371134,2.72,15.96,8.92
17,Achara,Dissolved silicates,5.248511364,0,16.833,5.462
79,Boonsri,Dissolved silicates,3.76091954,1.9,8.3,3.1
174,Busarakhan,Dissolved silicates,2.8805,1.02,5,2.8
270,Chai,Dissolved silicates,2.436419753,0.8,4.61,2.38
346,Decha,Dissolved silicates,8.802133333,1.2,21.57,9.07
409,Kannika,Dissolved silicates,2.719722222,1.99,4.3,2.465
503,Kohsoom,Dissolved silicates,15.375,12.3,18.7,14.5
599,Sakda,Dissolved silicates,2.605833333,1.98,4.5,2.27
696,Somchair,Dissolved silicates,3.66625,1.6,5.6,3.97
780,Tansanee,Dissolved silicates,5.206181818,0.424,16.154,4.99
80,Boonsri,Endosulfan (alpha),0.070703947,0,0.923,0.014
175,Busarakhan,Endosulfan (alpha),0.0568,0,0.451,0.005
271,Chai,Endosulfan (alpha),0.04298125,0,0.624,0.005
410,Kannika,Endosulfan (alpha),0.0248125,0,0.2,0.005
504,Kohsoom,Endosulfan (alpha),0.038703704,0,0.274,0.01
600,Sakda,Endosulfan (alpha),0.039988095,0,0.301,0.008
697,Somchair,Endosulfan (alpha),0.062666667,0,0.541,0.006
81,Boonsri,Endosulfan (beta),0.054180451,0,0.632,0.016
176,Busarakhan,Endosulfan (beta),0.062517241,0,0.482,0.005
272,Chai,Endosulfan (beta),0.040194805,0,0.488,0.005
411,Kannika,Endosulfan (beta),0.047974026,0,0.473,0.011
505,Kohsoom,Endosulfan (beta),0.043703704,0,0.316,0.019
601,Sakda,Endosulfan (beta),0.043797468,0,0.287,0.019
698,Somchair,Endosulfan (beta),0.051551724,0,0.537,0.005
82,Boonsri,Endrin,0.065474886,0,0.841,0.005
177,Busarakhan,Endrin,0.075411765,0,0.65,0.005
273,Chai,Endrin,0.079967213,0,0.919,0.005
412,Kannika,Endrin,0.067191919,0,0.631,0.005
506,Kohsoom,Endrin,0.056938776,0,0.377,0.025
602,Sakda,Endrin,0.054722222,0,0.407,0.005
699,Somchair,Endrin,0.116514286,0,1.114,0.005
781,Tansanee,Endrin,0.0365,0.0365,0.0365,0.0365
83,Boonsri,Fecal coliforms,0.440616269,0,23,0.22
178,Busarakhan,Fecal coliforms,12.09924225,0,240,0.2
274,Chai,Fecal coliforms,8.272131725,0,350,0.215
413,Kannika,Fecal coliforms,0.981526792,0,92,0.078
507,Kohsoom,Fecal coliforms,36.49186738,0,790,1.7
603,Sakda,Fecal coliforms,1.107696833,0,92,0.13
700,Somchair,Fecal coliforms,15.4945,0,240,0.27
84,Boonsri,Fecal streptococci ,0.051580096,0,4.5,0.017
179,Busarakhan,Fecal streptococci ,1.269032813,0,24,0.02
275,Chai,Fecal streptococci ,0.369166946,0,16,0.025
414,Kannika,Fecal streptococci ,0.077491053,0,5.4,0.00695
508,Kohsoom,Fecal streptococci ,8.95855748,0,330,0.33
604,Sakda,Fecal streptococci ,0.045067488,0,0.54,0.0078
701,Somchair,Fecal streptococci ,2.249511475,0,24,0.24
85,Boonsri,Fluoranthene,0.004612333,0.0045,0.00852,0.0045
180,Busarakhan,Fluoranthene,0.003666667,0.001,0.005,0.005
276,Chai,Fluoranthene,0.003857143,0.001,0.005,0.005
415,Kannika,Fluoranthene,0.003,0.001,0.005,0.003
509,Kohsoom,Fluoranthene,0.004572941,0.001,0.00838,0.0045
605,Sakda,Fluoranthene,0.003,0.001,0.005,0.003
702,Somchair,Fluoranthene,0.003666667,0.001,0.005,0.005
782,Tansanee,Fluoranthene,0.0045,0.003,0.006,0.0045
86,Boonsri,Fluorene,0.005,0.005,0.005,0.005
510,Kohsoom,Fluorene,0.005,0.005,0.005,0.005
18,Achara,gamma-Hexachlorocyclohexane,0,0,0,0
87,Boonsri,gamma-Hexachlorocyclohexane,0.028532319,0,0.88,0.01
181,Busarakhan,gamma-Hexachlorocyclohexane,0.035715232,0,0.43,0.011
277,Chai,gamma-Hexachlorocyclohexane,0.034403813,0,0.7,0.011
347,Decha,gamma-Hexachlorocyclohexane,0,0,0,0
416,Kannika,gamma-Hexachlorocyclohexane,0.028064302,0,0.5,0.01
511,Kohsoom,gamma-Hexachlorocyclohexane,0.029020261,0,0.45,0.01
606,Sakda,gamma-Hexachlorocyclohexane,0.035230238,0,0.99,0.01
703,Somchair,gamma-Hexachlorocyclohexane,0.03485625,0,1.03,0.01
783,Tansanee,gamma-Hexachlorocyclohexane,0.000833333,0,0.02,0
88,Boonsri,Heptachlor,0.00802027,0,0.093,0.005
182,Busarakhan,Heptachlor,0.0089,0,0.065,0.005
278,Chai,Heptachlor,0.006970238,0,0.103,0.005
417,Kannika,Heptachlor,0.006451613,0,0.121,0.005
512,Kohsoom,Heptachlor,0.00865625,0,0.07,0.005
607,Sakda,Heptachlor,0.006393258,0,0.045,0.005
704,Somchair,Heptachlor,0.007068966,0,0.029,0.005
89,Boonsri,Heptachloroepoxide,0.007790323,0,0.236,0.005
183,Busarakhan,Heptachloroepoxide,0.003461538,0,0.005,0.005
279,Chai,Heptachloroepoxide,0.005778626,0,0.13,0.005
418,Kannika,Heptachloroepoxide,0.005833333,0,0.142,0.005
513,Kohsoom,Heptachloroepoxide,0.014518519,0,0.222,0.005
608,Sakda,Heptachloroepoxide,0.007487179,0,0.121,0.005
705,Somchair,Heptachloroepoxide,0.003518519,0,0.005,0.005
90,Boonsri,Hexachlorobenzene,0.009233333,0.001,0.02,0.001
184,Busarakhan,Hexachlorobenzene,0.0055,0.0055,0.0055,0.0055
280,Chai,Hexachlorobenzene,0.0055,0.0055,0.0055,0.0055
419,Kannika,Hexachlorobenzene,0.0055,0.0055,0.0055,0.0055
514,Kohsoom,Hexachlorobenzene,0.0105,0.001,0.02,0.0105
609,Sakda,Hexachlorobenzene,0.0055,0.0055,0.0055,0.0055
706,Somchair,Hexachlorobenzene,0.0055,0.0055,0.0055,0.0055
185,Busarakhan,"Indeno(1,2,3-c,d)pyrene",0.003,0.001,0.004,0.004
281,Chai,"Indeno(1,2,3-c,d)pyrene",0.003142857,0.001,0.004,0.004
420,Kannika,"Indeno(1,2,3-c,d)pyrene",0.0025,0.001,0.004,0.0025
515,Kohsoom,"Indeno(1,2,3-c,d)pyrene",0.134,0.134,0.134,0.134
610,Sakda,"Indeno(1,2,3-c,d)pyrene",0.0025,0.001,0.004,0.0025
707,Somchair,"Indeno(1,2,3-c,d)pyrene",0.003333333,0.002,0.004,0.004
784,Tansanee,"Indeno(1,2,3-c,d)pyrene",0,0,0,0
19,Achara,Inorganic nitrogen,1.62375,0.15,3.759,1.4505
91,Boonsri,Inorganic nitrogen,1.28,1.28,1.28,1.28
348,Decha,Inorganic nitrogen,1.462083333,0.446,7.141,0.9725
785,Tansanee,Inorganic nitrogen,4.820913043,0.215,21.063,1.956
