,location,measure,mean,min,max,median
20,Achara,Iron,0.1975,0.08,0.38,0.195
92,Boonsri,Iron,0.585720522,0,30.25,0.32
186,Busarakhan,Iron,147.3834872,0,21665.84,0.6675
282,Chai,Iron,59.89690031,0,20688.6,0.44
349,Decha,Iron,0.711640385,0,6.115,0.381
421,Kannika,Iron,139.4223716,0,34413.96,0.55
516,Kohsoom,Iron,261.1981678,0.01,37959.28,0.67
611,Sakda,Iron,62.35547335,0,28901.59,0.583
708,Somchair,Iron,167.9822953,0,24790.53,0.9
786,Tansanee,Iron,0.184375,0,0.63,0.15
93,Boonsri,Isodrin,0.0114,0.001,0.025,0.001
187,Busarakhan,Isodrin,0.015,0.015,0.015,0.015
283,Chai,Isodrin,0.015,0.015,0.015,0.015
422,Kannika,Isodrin,0.015,0.015,0.015,0.015
517,Kohsoom,Isodrin,0.013705882,0.001,0.025,0.025
612,Sakda,Isodrin,0.015,0.015,0.015,0.015
709,Somchair,Isodrin,0.015,0.015,0.015,0.015
21,Achara,Lead,0.928571429,0,7.8,0.5
94,Boonsri,Lead,8.458451519,0,181.1,4.1615
188,Busarakhan,Lead,10.10228181,0.05,66,4.841
284,Chai,Lead,9.492125757,0,149.1,4.5
350,Decha,Lead,8.051914894,0,109,1.36
423,Kannika,Lead,7.715405018,0,83,2.76
518,Kohsoom,Lead,13.88114706,0,222.94,5.648
613,Sakda,Lead,7.885762611,0,106.599999,2.998
710,Somchair,Lead,12.67047005,0.05,144.7,4.9
787,Tansanee,Lead,2.121428571,0,5.49,1.5
22,Achara,Macrozoobenthos,2.37,2.37,2.37,2.37
95,Boonsri,Macrozoobenthos,1.794872881,0,2.24,1.9
189,Busarakhan,Macrozoobenthos,2.123444444,0,2.5,2.12
285,Chai,Macrozoobenthos,1.988779026,0,20,2.04
351,Decha,Macrozoobenthos,2.33,2.1,2.58,2.32
424,Kannika,Macrozoobenthos,2.284239496,0,42.79,2.05
519,Kohsoom,Macrozoobenthos,2.051206897,0,2.8,2.15
614,Sakda,Macrozoobenthos,2.516831776,0,47.21,2.07
711,Somchair,Macrozoobenthos,2.021584615,0,2.83,2.15
788,Tansanee,Macrozoobenthos,2.2925,2.14,2.43,2.3
23,Achara,Magnesium,6.324719101,2.2,20.4,6.1
96,Boonsri,Magnesium,14.38711805,3.7,61.23,12.61
190,Busarakhan,Magnesium,27.31628442,7.05,73.93,25.335
286,Chai,Magnesium,20.06648908,7,89.1,17.99
352,Decha,Magnesium,13.07859036,2.6,29.36,12.51
425,Kannika,Magnesium,19.76480881,7.05,62.25,17.9
520,Kohsoom,Magnesium,20.256553,4.2,77.72,19.5
615,Sakda,Magnesium,19.09882443,7.01,53.74,17.5
712,Somchair,Magnesium,23.36583334,7.05,66.15,21.125
789,Tansanee,Magnesium,20.77009524,6.912,63.23,18.805
24,Achara,Manganese,0.08855,0,0.9,0.0355
97,Boonsri,Manganese,0.309835419,0,232,0.038
191,Busarakhan,Manganese,15.47005051,0,906,0.05
287,Chai,Manganese,6.621183977,0,1910,0.033
353,Decha,Manganese,0.423304854,0,4.962,0.1772
426,Kannika,Manganese,5.877221884,0,1105.2,0.026
521,Kohsoom,Manganese,11.24760316,0,787.5,0.09
616,Sakda,Manganese,4.809480959,0,905,0.021
713,Somchair,Manganese,14.17983793,0,1027.1,0.06
790,Tansanee,Manganese,0.113737705,0,0.595,0.06
25,Achara,Mercury,0.2092375,0,1,0
98,Boonsri,Mercury,0.061336765,0,1.109,0.025
192,Busarakhan,Mercury,0.050796703,0,0.4,0.047
288,Chai,Mercury,0.046405316,0,1.27,0.027
354,Decha,Mercury,0.019771429,0,0.13,0.015
427,Kannika,Mercury,0.036963173,0,0.579,0.025
522,Kohsoom,Mercury,0.258960784,0,1.035,0.266
617,Sakda,Mercury,0.034050314,0,0.22,0.025
714,Somchair,Mercury,0.053415464,0,0.541,0.045
791,Tansanee,Mercury,0.01175,0,0.032,0.0075
99,Boonsri,Methoxychlor,0.045,0.005,0.137,0.019
193,Busarakhan,Methoxychlor,0.041,0.041,0.041,0.041
289,Chai,Methoxychlor,0.041333333,0.017,0.064,0.0425
523,Kohsoom,Methoxychlor,0.0315,0.009,0.054,0.0315
618,Sakda,Methoxychlor,0.025,0.025,0.025,0.025
715,Somchair,Methoxychlor,0.116,0.104,0.128,0.116
100,Boonsri,Methylosmoline,0.271857143,0.001,4.406,0.288
194,Busarakhan,Methylosmoline,0.198709677,0.004,0.342,0.293
290,Chai,Methylosmoline,1.590721154,0.25,4.25,1.256
428,Kannika,Methylosmoline,0.205706522,0.002,0.371,0.272
524,Kohsoom,Methylosmoline,22.3164375,0.253,144.991,8.784
619,Sakda,Methylosmoline,0.203967742,0.001,0.35,0.268
716,Somchair,Methylosmoline,51.78032258,0.264,130.541,4.514
101,Boonsri,Metolachlor,0.052752,0,0.671,0.027
195,Busarakhan,Metolachlor,0.03137037,0,0.133,0.015
291,Chai,Metolachlor,0.02942,0,0.179,0.017
429,Kannika,Metolachlor,0.038929412,0,0.315,0.027
525,Kohsoom,Metolachlor,0.045407407,0,0.285,0.03
620,Sakda,Metolachlor,0.0348125,0,0.308,0.023
717,Somchair,Metolachlor,0.047,0,0.389,0.021
102,Boonsri,Naphthalene,0.010828,0.01,0.05922,0.01
196,Busarakhan,Naphthalene,0.01,0.01,0.01,0.01
292,Chai,Naphthalene,0.01104,0.01,0.014,0.01
430,Kannika,Naphthalene,0.01975,0.0165,0.023,0.01975
526,Kohsoom,Naphthalene,0.01,0.01,0.01,0.01
621,Sakda,Naphthalene,0.0242,0.0242,0.0242,0.0242
718,Somchair,Naphthalene,0.01125,0.01,0.0125,0.01125
792,Tansanee,Naphthalene,0.002,0.002,0.002,0.002
26,Achara,Nickel,1.33125,0,16.9,0
103,Boonsri,Nickel,3.227210976,0,32,2.137
197,Busarakhan,Nickel,4.244635433,0,45.3,2.12
293,Chai,Nickel,4.040612626,0,55.5,2.0435
355,Decha,Nickel,2.743057692,0,13.23,2.01
431,Kannika,Nickel,4.323697519,0,109.32,1.978
527,Kohsoom,Nickel,9.290263566,0,68.13,5.015
622,Sakda,Nickel,2.859638756,0,49.3,2
719,Somchair,Nickel,6.267407685,0,80,2.6
793,Tansanee,Nickel,3.988888889,3.5,7.9,3.5
27,Achara,Nitrates,1.185242815,0.21,3.73126,1.08
104,Boonsri,Nitrates,1.184363422,0.09,3.81,1.0845
198,Busarakhan,Nitrates,1.71235542,0,11.5,1.559135
294,Chai,Nitrates,1.635398589,0,4.041,1.61
356,Decha,Nitrates,0.61466,0.017,1.539,0.597
432,Kannika,Nitrates,1.483133566,0.1,3.21,1.42
528,Kohsoom,Nitrates,2.034646759,0,10.8,1.7865
623,Sakda,Nitrates,1.452367463,0,3.59,1.415
720,Somchair,Nitrates,1.844657183,0.5085,7.62,1.7875
794,Tansanee,Nitrates,2.739091603,0.133,17.3,2.162
28,Achara,Nitrites,0.033942222,0.003,0.21,0.024
105,Boonsri,Nitrites,0.029380123,0,0.813,0.022
199,Busarakhan,Nitrites,0.03503049,0,0.217,0.026
295,Chai,Nitrites,0.028862484,0,0.412,0.021
357,Decha,Nitrites,0.021353333,0,0.083,0.0185
433,Kannika,Nitrites,0.034278631,0,1.51,0.026
529,Kohsoom,Nitrites,0.066919907,0.005,0.201,0.06
624,Sakda,Nitrites,0.036097526,0,0.443,0.024
721,Somchair,Nitrites,0.04686331,0,1.2,0.03
795,Tansanee,Nitrites,0.134492424,0,2.052,0.078
29,Achara,Organic nitrogen,0.313505618,0,2.12,0.24
106,Boonsri,Organic nitrogen,1.5525,1.34,1.68,1.595
358,Decha,Organic nitrogen,1.948705882,0,3.998,1.498
30,Achara,Orthophosphate-phosphorus,0.092422222,0,0.53,0.057
107,Boonsri,Orthophosphate-phosphorus,0.08280041,0,0.98,0.0605
200,Busarakhan,Orthophosphate-phosphorus,0.044917133,0,0.331,0.037
296,Chai,Orthophosphate-phosphorus,0.04212983,0,0.611,0.037
359,Decha,Orthophosphate-phosphorus,0.034849324,0,0.486,0.0245
434,Kannika,Orthophosphate-phosphorus,0.042535934,0,0.822,0.04
530,Kohsoom,Orthophosphate-phosphorus,0.179513825,0.014,1.75,0.14
625,Sakda,Orthophosphate-phosphorus,0.04178105,0,0.29,0.038
722,Somchair,Orthophosphate-phosphorus,0.039986866,0,0.2924,0.0295
796,Tansanee,Orthophosphate-phosphorus,0.084127481,0,0.305,0.082
31,Achara,Oxygen saturation,93.30555556,76,125,93
108,Boonsri,Oxygen saturation,86.17428573,50.57,198.1,87.195
201,Busarakhan,Oxygen saturation,81.19325573,22.4,106.74,84.13
297,Chai,Oxygen saturation,84.36649593,19.4,125,84.79
360,Decha,Oxygen saturation,99.41528302,58.09,141.85,101.39
435,Kannika,Oxygen saturation,86.36911046,13.5,114.31,86.67
531,Kohsoom,Oxygen saturation,79.99849206,47.35,147,79.75
626,Sakda,Oxygen saturation,84.82981312,63.5,99,85.2
723,Somchair,Oxygen saturation,81.26630948,23.9,108.6,83.45
797,Tansanee,Oxygen saturation,86.9356701,35.01,199.75,81.06
109,Boonsri,"p,p-DDD",0.096322981,0,0.857,0.046
202,Busarakhan,"p,p-DDD",0.116058824,0.005,0.688,0.029
298,Chai,"p,p-DDD",0.088541899,0,0.976,0.033
436,Kannika,"p,p-DDD",0.063851064,0,0.512,0.025
532,Kohsoom,"p,p-DDD",0.06571875,0.005,0.345,0.041
627,Sakda,"p,p-DDD",0.071226804,0,0.596,0.026
724,Somchair,"p,p-DDD",0.082428571,0,0.542,0.026
110,Boonsri,"p,p-DDE",0.030011429,0,0.234,0.015
203,Busarakhan,"p,p-DDE",0.035617647,0,0.242,0.01
299,Chai,"p,p-DDE",0.029715054,0,0.301,0.0135
437,Kannika,"p,p-DDE",0.030205882,0,0.186,0.0115
533,Kohsoom,"p,p-DDE",0.0223125,0.005,0.082,0.0135
628,Sakda,"p,p-DDE",0.024683673,0,0.267,0.0105
725,Somchair,"p,p-DDE",0.024147059,0,0.289,0.0075
32,Achara,"p,p-DDT",0,0,0,0
111,Boonsri,"p,p-DDT",0.026718514,0,1.85,0.0022
204,Busarakhan,"p,p-DDT",0.051471545,0,1.86,0.01
300,Chai,"p,p-DDT",0.038585567,0,0.93,0.01
361,Decha,"p,p-DDT",8.00E-04,0,0.0025,0
438,Kannika,"p,p-DDT",0.053246114,0,2.67,0.01
534,Kohsoom,"p,p-DDT",0.02793,0,0.43,0.003
629,Sakda,"p,p-DDT",0.0422,0,1.25,0.01
726,Somchair,"p,p-DDT",0.053385827,0,1.32,0.01
798,Tansanee,"p,p-DDT",0,0,0,0
112,Boonsri,PAHs,9.3,9.3,9.3,9.3
205,Busarakhan,PAHs,6.45,6.45,6.45,6.45
301,Chai,PAHs,6.69,6.69,6.69,6.69
439,Kannika,PAHs,5.78,5.78,5.78,5.78
535,Kohsoom,PAHs,40.9,40.9,40.9,40.9
630,Sakda,PAHs,3.93,3.93,3.93,3.93
727,Somchair,PAHs,6.55,6.55,6.55,6.55
113,Boonsri,PCB 101,0.001138333,0.001,0.00756,0.001
206,Busarakhan,PCB 101,0.001666667,0.001,0.002,0.002
302,Chai,PCB 101,0.001714286,0.001,0.002,0.002
440,Kannika,PCB 101,0.0015,0.001,0.002,0.0015
536,Kohsoom,PCB 101,0.001023158,0.001,0.00144,0.001
631,Sakda,PCB 101,0.0015,0.001,0.002,0.0015
728,Somchair,PCB 101,0.001666667,0.001,0.002,0.002
207,Busarakhan,PCB 118,0.002,0.002,0.002,0.002
303,Chai,PCB 118,0.002,0.002,0.002,0.002
441,Kannika,PCB 118,0.002,0.002,0.002,0.002
632,Sakda,PCB 118,0.002,0.002,0.002,0.002
729,Somchair,PCB 118,0.002,0.002,0.002,0.002
114,Boonsri,PCB 138,0.002031667,0.002,0.00295,0.002
208,Busarakhan,PCB 138,0.001666667,0.001,0.002,0.002
304,Chai,PCB 138,0.001714286,0.001,0.002,0.002
442,Kannika,PCB 138,0.0015,0.001,0.002,0.0015
537,Kohsoom,PCB 138,0.001947368,0.001,0.002,0.002
633,Sakda,PCB 138,0.0015,0.001,0.002,0.0015
730,Somchair,PCB 138,0.001666667,0.001,0.002,0.002
115,Boonsri,PCB 153,0.002,0.002,0.002,0.002
209,Busarakhan,PCB 153,0.001666667,0.001,0.002,0.002
305,Chai,PCB 153,0.001714286,0.001,0.002,0.002
443,Kannika,PCB 153,0.0015,0.001,0.002,0.0015
538,Kohsoom,PCB 153,0.001947368,0.001,0.002,0.002
634,Sakda,PCB 153,0.0015,0.001,0.002,0.0015
731,Somchair,PCB 153,0.001666667,0.001,0.002,0.002
116,Boonsri,PCB 180,0.002101,0.002,0.00806,0.002
210,Busarakhan,PCB 180,0.001666667,0.001,0.002,0.002
306,Chai,PCB 180,0.001714286,0.001,0.002,0.002
444,Kannika,PCB 180,0.0015,0.001,0.002,0.0015
539,Kohsoom,PCB 180,0.002203158,0.001,0.00552,0.002
635,Sakda,PCB 180,0.0015,0.001,0.002,0.0015
732,Somchair,PCB 180,0.001666667,0.001,0.002,0.002
211,Busarakhan,PCB 28,0.001,0.001,0.001,0.001
307,Chai,PCB 28,0.001,0.001,0.001,0.001
445,Kannika,PCB 28,0.001,0.001,0.001,0.001
540,Kohsoom,PCB 28,0.012,0.012,0.012,0.012
636,Sakda,PCB 28,0.001,0.001,0.001,0.001
733,Somchair,PCB 28,0.001,0.001,0.001,0.001
212,Busarakhan,PCB 52,0.001,0.001,0.001,0.001
308,Chai,PCB 52,0.001,0.001,0.001,0.001
446,Kannika,PCB 52,0.0015,0.001,0.002,0.0015
541,Kohsoom,PCB 52,0.001,0.001,0.001,0.001
637,Sakda,PCB 52,0.001,0.001,0.001,0.001
734,Somchair,PCB 52,0.001,0.001,0.001,0.001
117,Boonsri,Pentachlorobenzene,0.001,0.001,0.001,0.001
213,Busarakhan,Pentachlorobenzene,0.004,0.004,0.004,0.004
309,Chai,Pentachlorobenzene,0.004,0.004,0.004,0.004
447,Kannika,Pentachlorobenzene,0.004,0.004,0.004,0.004
542,Kohsoom,Pentachlorobenzene,0.001,0.001,0.001,0.001
638,Sakda,Pentachlorobenzene,0.004,0.004,0.004,0.004
735,Somchair,Pentachlorobenzene,0.004,0.004,0.004,0.004
33,Achara,Petroleum hydrocarbons,0.013081081,0,0.16,0
118,Boonsri,Petroleum hydrocarbons,0.267892308,0,9.411,0
214,Busarakhan,Petroleum hydrocarbons,0.972710526,0,12,0.027
310,Chai,Petroleum hydrocarbons,1.261210695,0,16,0.025
362,Decha,Petroleum hydrocarbons,0.077419355,0,0.2,0
448,Kannika,Petroleum hydrocarbons,1.329104128,0,35.3,0.023
543,Kohsoom,Petroleum hydrocarbons,0.030617978,0,1.35,0
639,Sakda,Petroleum hydrocarbons,1.277015865,0,16.4,0.023
736,Somchair,Petroleum hydrocarbons,1.341671429,0,34,0.045
799,Tansanee,Petroleum hydrocarbons,0.179871429,0,0.6171,0.13
119,Boonsri,Phenanthrene,0.005,0.005,0.005,0.005
215,Busarakhan,Phenanthrene,0.005,0.005,0.005,0.005
311,Chai,Phenanthrene,0.005,0.005,0.005,0.005
449,Kannika,Phenanthrene,0.005,0.005,0.005,0.005
544,Kohsoom,Phenanthrene,0.005,0.005,0.005,0.005
640,Sakda,Phenanthrene,0.005,0.005,0.005,0.005
737,Somchair,Phenanthrene,0.005,0.005,0.005,0.005
800,Tansanee,Phenanthrene,0.003,0.003,0.003,0.003
34,Achara,Potassium,2.983333333,2.1,4.2,2.6
120,Boonsri,Potassium,2.624176548,1,4.4,3
216,Busarakhan,Potassium,5.045934066,1.2,14.5,3.9
312,Chai,Potassium,2.718817568,1,5.8,2.6
363,Decha,Potassium,5.292966667,2.57,20.79,4.235
450,Kannika,Potassium,2.944832827,1,6.8,2.8
545,Kohsoom,Potassium,4.859952153,1.6,14.8,4.6
641,Sakda,Potassium,3.14616129,0.6,28,2.9
738,Somchair,Potassium,4.930736842,1.4,15.4,4.2
801,Tansanee,Potassium,7.714,7.03,8.96,7.54
121,Boonsri,Pyrene,0.002594,0.001,0.00588,0.003
546,Kohsoom,Pyrene,0.002961875,0.00136,0.00622,0.003
217,Busarakhan,Selenium,0.551625,0.04,2.4,0.13
313,Chai,Selenium,0.380684211,0.03,1.4,0.061
451,Kannika,Selenium,0.719736842,0.035,1.9,0.46
642,Sakda,Selenium,0.603727273,0.027,2,0.365
739,Somchair,Selenium,1.168428571,0.036,3.5,0.85
35,Achara,Silica (SiO2),9.458333333,4.3,18.3,8.9
122,Boonsri,Silica (SiO2),7.054857843,0.417,18.15,6.908
218,Busarakhan,Silica (SiO2),6.502321429,1.089,16.6,6.388
314,Chai,Silica (SiO2),7.249940239,0.457,21.8,7.104
452,Kannika,Silica (SiO2),6.953443089,0.4,24.6,6.267
547,Kohsoom,Silica (SiO2),8.051406977,1.3,23.374,8.3085
643,Sakda,Silica (SiO2),6.94445749,0.4,18.7,6.54
740,Somchair,Silica (SiO2),7.290915663,1.9,16.8,6.78
123,Boonsri,Simazine,0.14223301,0.005,0.742,0.094
219,Busarakhan,Simazine,0.110333333,0.007,0.37,0.06
315,Chai,Simazine,0.103008264,0.005,0.489,0.06
453,Kannika,Simazine,0.108712329,0.03,0.435,0.06
548,Kohsoom,Simazine,0.18275,0,0.73,0.0875
644,Sakda,Simazine,0.1139,0.02,0.593,0.06
741,Somchair,Simazine,0.09916,0.014,0.281,0.073
802,Tansanee,Simazine,0.05,0.05,0.05,0.05
36,Achara,Sodium,9.859090909,5.2,19.5,8.65
124,Boonsri,Sodium,16.74760417,6.7,31,16
220,Busarakhan,Sodium,36.55813187,16.8,99.8,29.8
316,Chai,Sodium,20.68407285,10.2,177.51,18.4
364,Decha,Sodium,43.680675,8,80.7,40.805
454,Kannika,Sodium,20.39784195,11.2,31.2,20.1
549,Kohsoom,Sodium,30.64920189,5.7,62.4,29.1
645,Sakda,Sodium,22.22964056,11.2,108.5,20.4
742,Somchair,Sodium,39.10831579,18.4,81.7,36.4
803,Tansanee,Sodium,233.28,195.73,290.9,235.4
125,Boonsri,Sulfides,0.1,0.1,0.1,0.1
221,Busarakhan,Sulfides,0.063608696,0.012,0.1,0.1
317,Chai,Sulfides,0.066589744,0,0.1,0.1
455,Kannika,Sulfides,0.051896104,0,0.1,0.023
550,Kohsoom,Sulfides,0.1,0.1,0.1,0.1
646,Sakda,Sulfides,0.055166667,0.008,0.1,0.0225
743,Somchair,Sulfides,0.0612,0.015,0.1,0.034
37,Achara,Sulphates,25.39545455,12.7,47,24.45
126,Boonsri,Sulphates,37.80469419,3.4,106.8,36.145
222,Busarakhan,Sulphates,84.71434527,27,230.6,77.42
318,Chai,Sulphates,33.75216478,10.1,126.4,30
365,Decha,Sulphates,47.07468831,4.824,108,46.6
456,Kannika,Sulphates,35.56441015,8.5,83,32.5
551,Kohsoom,Sulphates,78.1826667,26.111,153.600006,68.5
647,Sakda,Sulphates,35.96158491,0,90.5,32.545
744,Somchair,Sulphates,60.2717647,22.8,176,57.15
804,Tansanee,Sulphates,103.722093,59.34,145.2,104.656
127,Boonsri,Tetrachloromethane,0.260087912,0.025,3.311,0.25
223,Busarakhan,Tetrachloromethane,0.162903226,0.025,0.25,0.25
319,Chai,Tetrachloromethane,0.188490385,0.025,0.602,0.25
457,Kannika,Tetrachloromethane,0.169293478,0.025,0.25,0.25
552,Kohsoom,Tetrachloromethane,0.18828125,0.025,0.609,0.25
648,Sakda,Tetrachloromethane,0.17016129,0.025,0.25,0.25
745,Somchair,Tetrachloromethane,0.162903226,0.025,0.25,0.25
38,Achara,Total coliforms,5478.333333,170,16090,175
128,Boonsri,Total coliforms,5.825762919,0,320,2.8
224,Busarakhan,Total coliforms,24.16184868,0,780,1.75
320,Chai,Total coliforms,20.85576913,0,350,2.79
366,Decha,Total coliforms,433.4880952,1.1,4600,35
458,Kannika,Total coliforms,2.575327344,0,92,0.24
553,Kohsoom,Total coliforms,368.2872254,0,13000,16
649,Sakda,Total coliforms,3.620725847,0,160,0.54
746,Somchair,Total coliforms,53.00293421,0,1300,3.5
129,Boonsri,Total dissolved phosphorus,0.057057851,0.01,0.202,0.05
225,Busarakhan,Total dissolved phosphorus,0.06768,0.016,0.197,0.0585
321,Chai,Total dissolved phosphorus,0.056954545,0.01,0.116,0.059
459,Kannika,Total dissolved phosphorus,0.072527778,0.038,0.108,0.0765
554,Kohsoom,Total dissolved phosphorus,0.239983333,0.0783,0.57,0.2221
650,Sakda,Total dissolved phosphorus,0.073138889,0.039,0.111,0.0765
747,Somchair,Total dissolved phosphorus,0.05728,0.008,0.199,0.044
39,Achara,Total dissolved salts,176.0357143,108,254,175
130,Boonsri,Total dissolved salts,246.5342707,160,2330,240
226,Busarakhan,Total dissolved salts,445.6688742,237,1019,423
322,Chai,Total dissolved salts,272.5141243,129,391,270.5
367,Decha,Total dissolved salts,412.275,212,988,372
460,Kannika,Total dissolved salts,273.895881,152.5,714,269
555,Kohsoom,Total dissolved salts,343.3404255,254,471,341
651,Sakda,Total dissolved salts,302.0490868,164.7,1307,274.9
748,Somchair,Total dissolved salts,446.9701987,0,929,439
805,Tansanee,Total dissolved salts,733.9124419,455.2,1053,731
131,Boonsri,Total extractable matter,0.077037037,0,0.17,0.07
227,Busarakhan,Total extractable matter,1.027833333,0.08,5.8,0.2
323,Chai,Total extractable matter,1.555055556,0.06,10.8,0.14
461,Kannika,Total extractable matter,3.078,0.05,25,0.12
556,Kohsoom,Total extractable matter,0.1875,0.1,0.25,0.2
652,Sakda,Total extractable matter,2.758,0.058,25,0.12
749,Somchair,Total extractable matter,1.180909091,0.12,6,0.19
40,Achara,Total hardness,115.1266667,78.2,161.3,113.05
132,Boonsri,Total hardness,106.3101919,3.06,301,104.16
228,Busarakhan,Total hardness,180.4527693,11.7,368.74,168
324,Chai,Total hardness,137.1845326,9.53,219.652,133
368,Decha,Total hardness,193.3211304,121.4,326.07,181.61
462,Kannika,Total hardness,147.7462353,10.6,267,138.95
557,Kohsoom,Total hardness,167.5152988,3.46,492.799988,138.6
653,Sakda,Total hardness,150.2193261,10,240.83,141
750,Somchair,Total hardness,159.2848918,12.3,276.56,145.5
806,Tansanee,Total hardness,266.7340286,159.696,378.378,265.59
41,Achara,Total nitrogen,1.649383459,0,5.67,1.5
133,Boonsri,Total nitrogen,1.522017621,0.726,3.19,1.434
229,Busarakhan,Total nitrogen,2.101132653,0.675,5.23,2.005
325,Chai,Total nitrogen,2.157639125,0.57,4.92,2.07
369,Decha,Total nitrogen,2.813180531,0.639,9.15,2.13
463,Kannika,Total nitrogen,2.033955283,0.745,4.07,1.95
558,Kohsoom,Total nitrogen,4.300344828,1.188,9.997,3.6615
654,Sakda,Total nitrogen,1.977141414,0.5,4.22,1.915
751,Somchair,Total nitrogen,2.419758974,0.766,5.78,2.33
807,Tansanee,Total nitrogen,6.769490196,1.908,22.52,3.516
42,Achara,Total organic carbon,2.4755,2.15,3.37,2.395
134,Boonsri,Total organic carbon,3.180248175,1.001,6.822,3.005
230,Busarakhan,Total organic carbon,6.903846154,4.11,19.2,5.15
326,Chai,Total organic carbon,4.993333333,2.47,7.8,4.88
464,Kannika,Total organic carbon,4.9329,1.61,11.42,4.215
559,Kohsoom,Total organic carbon,5.435770833,3.001,8.96,5.288
655,Sakda,Total organic carbon,5.536083333,1.68,10.59,5.02
752,Somchair,Total organic carbon,8.880714286,4.21,33.4,6.71
808,Tansanee,Total organic carbon,4.171470588,2.73,10.6,3.73
43,Achara,Total phosphorus,0.149358209,0.022,0.82,0.106
135,Boonsri,Total phosphorus,0.125796555,0,1.2,0.1
231,Busarakhan,Total phosphorus,0.097001825,0,0.782,0.078
327,Chai,Total phosphorus,0.099216481,0.006,4.07,0.079
370,Decha,Total phosphorus,0.149063448,0.012,2.1382,0.109
465,Kannika,Total phosphorus,0.09412719,0,0.408,0.088
560,Kohsoom,Total phosphorus,0.270788018,0.04,2.44,0.214
656,Sakda,Total phosphorus,0.093728281,0,0.338,0.086
753,Somchair,Total phosphorus,0.103744161,0,0.979,0.0675
809,Tansanee,Total phosphorus,0.200494656,0.039,0.424,0.188
232,Busarakhan,Trifluralin,0.1,0.1,0.1,0.1
328,Chai,Trifluralin,0.1,0.1,0.1,0.1
466,Kannika,Trifluralin,0.1,0.1,0.1,0.1
657,Sakda,Trifluralin,0.1,0.1,0.1,0.1
754,Somchair,Trifluralin,0.1,0.1,0.1,0.1
44,Achara,Water temperature,13.62941176,1,26,13
136,Boonsri,Water temperature,14.07550813,0.2,29.5,14
233,Busarakhan,Water temperature,13.58561837,0,30,13
329,Chai,Water temperature,14.06936498,0,32,14
371,Decha,Water temperature,13.27375,0.2,28,13.6
467,Kannika,Water temperature,14.15624103,0,29.2,14
561,Kohsoom,Water temperature,15.06175116,0.5,36.4,15
658,Sakda,Water temperature,14.14397301,0.5,28.2,14
755,Somchair,Water temperature,13.5934629,0,29,13
810,Tansanee,Water temperature,14.24603175,0,34,14.5
45,Achara,Zinc,9.786666667,3,41,6
137,Boonsri,Zinc,44.82653957,0,950.7,28
234,Busarakhan,Zinc,37.6071519,0,380,26.5
330,Chai,Zinc,31.34295154,0,413,20
372,Decha,Zinc,129.6811765,0,549,95
468,Kannika,Zinc,28.07124767,0,815,16
562,Kohsoom,Zinc,69.22337209,0,915.02,35.15
659,Sakda,Zinc,33.36629921,0,1054,18
756,Somchair,Zinc,48.87217391,0,639,31
811,Tansanee,Zinc,29.96666667,3,154,25
